loss,accuracy,val_loss,val_accuracy
0.8247143030166626,0.737500011920929,0.7275425791740417,0.8500000238418579
0.7825729846954346,0.762499988079071,0.6909127235412598,0.8500000238418579
0.742314875125885,0.7749999761581421,0.6561976075172424,0.875
0.7030803561210632,0.800000011920929,0.6235259175300598,0.8999999761581421
0.6667845845222473,0.800000011920929,0.5932736396789551,0.8999999761581421
0.6339504718780518,0.8125,0.5640007853507996,0.8999999761581421
0.600236713886261,0.824999988079071,0.5372454524040222,0.8999999761581421
0.5706843733787537,0.831250011920929,0.5122441053390503,0.8999999761581421
0.5428594946861267,0.8374999761581421,0.48828044533729553,0.8999999761581421
0.5182682275772095,0.84375,0.467719167470932,0.8999999761581421
0.49530544877052307,0.8500000238418579,0.4483262896537781,0.8999999761581421
0.473740816116333,0.856249988079071,0.4318045973777771,0.8999999761581421
0.45496320724487305,0.862500011920929,0.4170532822608948,0.8999999761581421
0.43672460317611694,0.862500011920929,0.405216783285141,0.8999999761581421
0.41911396384239197,0.875,0.3935219347476959,0.8999999761581421
0.40357694029808044,0.887499988079071,0.38387981057167053,0.875
0.3892374634742737,0.893750011920929,0.3750494122505188,0.875
0.3741372525691986,0.8999999761581421,0.3673834204673767,0.875
0.36112985014915466,0.893750011920929,0.3609601855278015,0.875
0.3482310175895691,0.90625,0.35399919748306274,0.875
0.3374834954738617,0.9125000238418579,0.34833765029907227,0.875
0.32749873399734497,0.9125000238418579,0.34302595257759094,0.875
0.3173803687095642,0.9125000238418579,0.3412908613681793,0.875
0.309035062789917,0.9125000238418579,0.33815333247184753,0.875
0.3010599613189697,0.9125000238418579,0.3338775038719177,0.875
0.292916476726532,0.9125000238418579,0.33057278394699097,0.875
0.28561168909072876,0.9125000238418579,0.3280046582221985,0.875
0.27906090021133423,0.9125000238418579,0.32477110624313354,0.875
0.27294787764549255,0.9125000238418579,0.3229687511920929,0.875
0.2668532133102417,0.9125000238418579,0.3218460977077484,0.875
0.2615273594856262,0.918749988079071,0.3190035820007324,0.875
0.25630003213882446,0.918749988079071,0.31936177611351013,0.875
0.2512783408164978,0.925000011920929,0.3167516589164734,0.875
0.24650466442108154,0.925000011920929,0.31082281470298767,0.875
0.24247410893440247,0.9312499761581421,0.3074052631855011,0.875
0.23869505524635315,0.9312499761581421,0.3067212402820587,0.875
0.2352040708065033,0.9312499761581421,0.30397504568099976,0.875
0.2317459136247635,0.9312499761581421,0.30307304859161377,0.875
0.22963955998420715,0.9312499761581421,0.3027448058128357,0.875
0.22618810832500458,0.925000011920929,0.3030504882335663,0.875
0.22398681938648224,0.925000011920929,0.2997193932533264,0.875
0.2205224335193634,0.9312499761581421,0.2994282841682434,0.875
0.21793588995933533,0.925000011920929,0.2988051474094391,0.875
0.21586577594280243,0.925000011920929,0.2973344922065735,0.875
